,Unnamed: 0,n,kf,R_f,Q10,Q,kl,R_l,Index,
297,297,1.831577717,0.556067491,0.988865606,1.954811493,2.861590011,-12984730.43,-2.99E-08,3050,0.291104884
298,298,2.010172395,0.527797832,0.983982189,1.659347603,2.179118747,-10310109.8,-4.50E-08,3051,0.219937372
299,299,3.874168124,1.65360541,0.969657048,2.996069016,3.278347569,-22087719.73,-4.93E-08,3052,0.476551813
300,300,4.481606946,1.596062395,0.960973768,2.667989488,2.878783353,-63643312.88,-1.88E-08,3053,0.426184114
301,301,4.017660608,1.736865351,0.957135672,3.080826316,3.012063899,-23088172.87,-7.51E-08,3054,0.488667215
302,302,4.275333882,1.988673687,0.980378265,3.407715959,3.745194052,-23094304.3,-6.08E-08,3055,0.532463388
303,303,3.775201051,2.170803595,0.936546431,3.994910803,4.312870957,-44247273.69,-2.99E-08,3056,0.601507087
304,304,3.539609767,2.004812701,0.965145935,3.842296047,4.183663181,-22454440.75,-4.68E-08,3057,0.584590824
305,305,3.598243569,2.203562521,0.944514591,4.178676475,4.645932874,-24876646.58,-5.14E-08,3058,0.621038748
306,306,4.163757293,1.381678016,0.955593028,2.402008525,2.59462332,-30565264.22,-4.47E-08,3059,0.380574544
307,307,3.990905927,1.270911619,0.950577614,2.263002454,2.526624602,-52313649.94,-2.10E-08,3060,0.354685025
308,308,3.658169577,1.393144603,0.966405782,2.614309207,2.539832586,-81755314.09,-1.52E-08,3061,0.417356952
309,309,3.476864283,1.51585293,0.976429223,2.939493814,3.291682485,-19335145.34,-5.22E-08,3062,0.468272551
310,310,3.404056829,1.566878532,0.944038192,3.081785865,3.363925696,-40953986.39,-2.99E-08,3063,0.488802459
311,311,3.024324386,1.445054648,0.960065865,3.094116292,3.444157483,-42778529.99,-2.23E-08,3064,0.490536633
312,312,3.168987444,1.649832488,0.92989517,3.411913873,3.660013996,-48082243.43,-2.08E-08,3065,0.53299806
313,313,3.211287698,0.997192622,0.945225561,2.042587251,2.321845785,-33588659.83,-3.01E-08,3066,0.310180617
314,314,3.272963795,1.006739263,0.96594713,2.034466208,2.874274148,0.306028734,0.992002591,3067,0.308450481
315,315,3.744625102,1.500299616,0.921470572,2.774772799,3.040628228,-37350635.8,-3.63E-08,3068,0.443227428
316,316,2.988411051,1.281641426,0.92359641,2.769443594,2.718555278,-35309456.44,-3.40E-08,3069,0.442392524
